film_title,category_name,rental_count
Juggler Hardly,Animation,32
Scalawag Duck,Music,32
Robbers Joon,Children,31
Network Peak,Family,31
Apache Divine,Family,31
Timberland Sky,Classics,31
Zorro Ark,Comedy,31
Rush Goodfellas,Family,31
Frost Head,Classics,30
Cat Coneheads,Comedy,30
Idols Snatchers,Children,30
Dogma Family,Animation,30
Enemy Odds,Music,29
Deer Virginian,Music,29
Confidential Interview,Music,29
Boogie Amelie,Music,29
Sweethearts Suspects,Children,29
Greatest North,Music,29
Storm Happiness,Animation,29
Gilmore Boiled,Classics,28
Closer Bang,Comedy,28
Voyage Legally,Classics,28
Giant Troopers,Children,28
Detective Vision,Classics,27
Blackout Private,Animation,27
Dorado Notting,Music,27
Range Moonwalker,Family,27
Movie Shakespeare,Family,27
Forrester Comancheros,Animation,27
Gangs Pride,Animation,27
Operation Operation,Comedy,27
Telegraph Voyage,Music,27
Loathing Legally,Classics,27
Invasion Cyclone,Children,27
Island Exorcist,Classics,26
Velvet Terminator,Comedy,26
Alaska Phantom,Music,26
Malkovich Pet,Classics,26
Hyde Doctor,Classics,26
Tracy Cider,Animation,26
Half Outfield,Family,26
Westward Seabiscuit,Classics,26
Clash Freddy,Animation,25
Telemark Heartbreakers,Animation,25
Downhill Enough,Comedy,25
Feud Frogmen,Family,25
Tomorrow Hustler,Classics,25
Oscar Gold,Animation,25
Effect Gladiator,Family,25
Mallrats United,Comedy,25
Dynamite Tarzan,Classics,25
Double Wrath,Animation,25
Shepherd Midsummer,Children,25
Jason Trap,Family,24
Horn Working,Animation,24
Oz Liaisons,Animation,24
Sunrise League,Animation,24
Fargo Gandhi,Children,24
Jumping Wrath,Children,24
Strangelove Desire,Children,24
Bound Cheaper,Classics,24
Center Dinosaur,Classics,24
Color Philadelphia,Classics,24
Caper Motions,Comedy,24
Gunfight Moon,Comedy,24
Hurricane Affair,Comedy,24
Knock Warlock,Comedy,24
Atlantis Cause,Family,24
Slums Duck,Family,24
Roman Punk,Music,24
Murder Antitrust,Children,23
Balloon Homeward,Music,23
Snowman Rollercoaster,Animation,23
House Dynamite,Family,23
Titanic Boondock,Animation,23
Steel Santa,Classics,23
Strictly Scarface,Comedy,23
Crooked Frogmen,Children,23
Borrowers Bedazzled,Animation,22
Falcon Volume,Animation,22
Bear Graceland,Children,22
Alter Victory,Animation,22
Packer Madigan,Animation,22
Snatch Slipper,Comedy,22
Fight Jawbreaker,Animation,22
Hustler Party,Comedy,22
Banger Pinocchio,Music,22
Homicide Peach,Family,22
Grease Youth,Family,21
Anaconda Confessions,Animation,21
